day,numbers,dayoff,work,outsidework,workfhome,lunch_t,dinner_t,Month,Date,bob,soup,main,bobd,soupd,maind,present
2,2637,67,248,0,0.0,820.0,487.0,06,29,22,235,9,66,244,298,2322
1,2637,76,247,151,0.0,886.0,446.0,06,30,22,113,80,86,26,21,2163
0,2643,145,215,41,0.0,879.0,513.0,07,01,22,154,296,66,239,67,2242
3,2643,88,190,385,0.0,1292.0,582.0,07,04,22,5,175,66,194,99,1980
4,2643,55,226,376,0.0,952.0,551.0,07,05,22,151,56,7,84,398,1986
2,2643,56,224,0,0.0,939.0,484.0,07,06,4,3,70,66,171,321,2363
1,2643,64,238,340,0.0,857.0,494.0,07,07,22,64,21,66,266,86,2001
0,2643,155,260,60,0.0,863.0,534.0,07,08,22,202,15,66,180,47,2168
3,2643,121,210,366,0.0,1115.0,630.0,07,11,22,261,98,66,129,7,1946
4,2643,72,223,382,0.0,919.0,519.0,07,12,22,13,254,42,176,282,1966
2,2643,79,241,0,0.0,866.0,483.0,07,13,13,184,184,66,161,430,2323
1,2643,84,252,308,0.0,781.0,550.0,07,14,22,110,144,33,109,52,1999
0,2643,189,261,55,0.0,867.0,503.0,07,15,22,120,123,66,199,265,2138
3,2643,126,208,343,0.0,1158.0,596.0,07,18,22,157,103,66,50,43,1966
4,2643,111,233,263,0.0,888.0,424.0,07,19,22,161,159,109,84,82,2036
2,2643,124,238,0,0.0,844.0,443.0,07,20,22,130,168,66,65,378,2281
1,2643,115,255,263,0.0,733.0,446.0,07,21,22,205,40,44,12,335,2010
0,2643,251,272,47,0.0,661.0,501.0,07,22,48,99,29,66,63,67,2073
3,2643,277,180,247,0.0,1086.0,584.0,07,25,22,151,181,66,252,111,1939
4,2643,260,185,269,0.0,927.0,582.0,07,26,22,229,166,104,226,320,1929
2,2643,299,192,0,0.0,872.0,423.0,07,27,22,159,114,66,183,99,2152
1,2643,340,204,197,0.0,816.0,434.0,07,28,22,36,386,107,84,284,1902
0,2643,486,207,36,0.0,671.0,472.0,07,29,38,56,58,66,179,149,1914
3,2644,512,109,238,0.0,1055.0,510.0,08,01,22,119,19,66,254,260,1785
4,2644,460,167,268,0.0,829.0,515.0,08,02,39,249,61,66,236,175,1749
2,2644,485,183,0,0.0,802.0,363.0,08,03,22,114,130,86,47,259,1976
1,2644,467,200,262,0.0,671.0,456.0,08,04,22,116,74,74,3,155,1715
0,2644,538,212,46,0.0,641.0,448.0,08,05,22,64,146,66,159,358,1848
3,2644,421,180,255,0.0,1038.0,480.0,08,08,22,259,296,66,133,360,1788
4,2644,392,182,286,0.0,874.0,470.0,08,09,22,235,167,80,253,172,1784
2,2644,411,188,0,0.0,842.0,451.0,08,10,22,131,300,66,55,426,2045
1,2644,413,202,295,0.0,845.0,530.0,08,11,22,161,193,42,168,377,1734
0,2644,587,215,60,0.0,708.0,410.0,08,12,27,78,201,66,32,227,1782
4,2644,352,177,351,0.0,1023.0,561.0,08,16,22,49,38,11,117,52,1764
2,2644,311,191,0,0.0,924.0,465.0,08,17,22,50,283,66,257,125,2142
1,2644,274,215,364,0.0,943.0,574.0,08,18,22,180,14,77,31,330,1791
0,2644,345,237,59,0.0,754.0,532.0,08,19,17,56,223,66,68,432,2003
3,2644,115,159,458,0.0,1266.0,729.0,08,22,22,36,39,66,106,130,1912
4,2644,86,211,386,0.0,1145.0,563.0,08,23,22,110,340,13,220,428,1961
2,2644,113,209,0,0.0,941.0,588.0,08,24,22,252,76,66,5,144,2322
1,2644,123,241,308,0.0,885.0,508.0,08,25,22,211,112,108,225,366,1972
0,2644,194,269,70,0.0,813.0,489.0,08,26,22,75,133,66,256,352,2111
3,2644,132,202,352,0.0,1258.0,568.0,08,29,22,157,225,66,240,92,1958
4,2644,96,242,268,0.0,901.0,514.0,08,30,22,115,19,8,84,271,2038
2,2644,98,236,0,0.0,915.0,498.0,08,31,15,3,27,66,244,68,2310
1,2769,99,250,336,0.0,953.0,468.0,09,01,22,188,159,96,81,35,2084
0,2769,177,279,76,0.0,832.0,460.0,09,02,22,162,81,66,180,132,2237
3,2769,100,225,447,0.0,1164.0,554.0,09,05,22,152,283,66,183,347,1997
4,2769,59,253,477,0.0,784.0,560.0,09,06,22,118,7,46,220,172,1980
2,2769,65,241,0,0.0,926.0,504.0,09,07,4,67,103,66,187,102,2463
1,2769,69,255,438,0.0,758.0,548.0,09,08,22,64,272,9,226,238,2007
0,2769,137,288,86,0.0,682.0,485.0,09,09,22,268,293,66,160,341,2258
3,2769,328,176,306,0.0,924.0,504.0,09,12,22,161,76,42,176,195,1959
4,2769,511,108,52,0.0,820.0,238.0,09,13,22,243,139,66,241,352,2098
3,2769,167,180,550,0.0,1271.0,662.0,09,19,22,171,278,66,163,400,1872
4,2769,69,227,588,0.0,1039.0,627.0,09,20,22,175,130,109,84,344,1885
2,2769,58,246,0,0.0,1068.0,603.0,09,21,41,249,64,66,16,261,2465
1,2769,137,253,403,0.0,891.0,533.0,09,22,22,149,298,77,36,178,1976
0,2769,165,278,99,0.0,716.0,562.0,09,23,22,188,223,66,254,274,2227
3,2769,70,224,494,0.0,1185.0,710.0,09,26,22,168,295,66,107,17,1981
4,2769,56,233,380,0.0,1033.0,550.0,09,27,22,45,13,61,117,398,2100
2,2769,50,225,0,0.0,1128.0,591.0,09,28,49,78,205,66,231,192,2494
1,2769,153,227,331,0.0,1044.0,622.0,09,29,22,64,107,104,226,320,2058
0,2769,158,256,59,0.0,843.0,539.0,09,30,22,199,59,66,19,120,2296
4,2670,59,239,1035,0.0,1262.0,902.0,10,04,22,110,175,66,257,98,1337
2,2670,41,228,0,0.0,1336.0,905.0,10,05,22,226,144,66,167,194,2401
1,2670,56,245,378,0.0,1196.0,352.0,10,06,22,100,364,80,234,57,1991
0,2670,144,252,80,0.0,843.0,554.0,10,07,22,50,361,66,224,386,2194
3,2670,104,216,443,0.0,1180.0,546.0,10,10,22,152,283,66,254,125,1907
4,2670,69,256,386,0.0,1014.0,522.0,10,11,22,160,161,13,117,60,1959
2,2670,64,251,0,0.0,951.0,527.0,10,12,32,248,215,66,284,102,2355
1,2670,66,262,612,0.0,1051.0,667.0,10,13,22,75,133,113,185,363,1730
0,2670,144,265,172,0.0,898.0,544.0,10,14,22,10,123,66,129,398,2089
3,2670,107,241,425,0.0,1196.0,527.0,10,17,22,100,225,66,268,97,1897
4,2670,53,262,394,0.0,994.0,544.0,10,18,22,36,169,21,242,25,1961
2,2670,72,267,0,0.0,933.0,475.0,10,19,22,227,293,66,183,141,2331
1,2670,105,269,281,0.0,787.0,564.0,10,20,22,57,55,71,201,243,2015
0,2670,228,280,62,0.0,760.0,442.0,10,21,47,15,184,66,55,426,2100
3,2670,120,223,367,0.0,1171.0,600.0,10,24,22,64,305,66,132,93,1960
4,2670,73,259,345,0.0,1028.0,559.0,10,25,22,211,19,74,3,434,1993
2,2670,89,258,0,0.0,854.0,410.0,10,26,4,110,86,66,161,5,2323
1,2670,94,272,240,0.0,807.0,454.0,10,27,22,61,107,66,121,335,2064
0,2670,192,277,63,0.0,731.0,475.0,10,28,22,114,38,66,199,154,2138
3,2670,134,223,255,0.0,1224.0,540.0,10,31,22,24,234,66,129,224,2058
4,2689,70,212,515,0.0,1087.0,578.0,11,01,22,170,68,88,273,57,1892
2,2689,73,231,0,0.0,1006.0,540.0,11,02,51,3,382,66,244,139,2385
1,2689,72,283,408,0.0,864.0,553.0,11,03,22,149,314,97,117,241,1926
0,2689,168,276,81,0.0,803.0,497.0,11,04,22,130,153,66,167,125,2164
3,2689,133,222,539,0.0,1156.0,506.0,11,07,22,188,296,66,105,7,1795
4,2689,60,250,503,0.0,986.0,512.0,11,08,22,226,253,23,84,310,1876
2,2689,58,267,0,0.0,920.0,499.0,11,09,17,36,39,66,141,40,2364
1,2689,73,267,385,0.0,795.0,513.0,11,10,22,29,235,9,11,423,1964
0,2689,173,286,69,0.0,652.0,426.0,11,11,22,168,340,66,56,197,2161
3,2689,92,227,461,0.0,1260.0,539.0,11,14,22,171,219,66,254,167,1909
4,2689,66,273,418,0.0,914.0,418.0,11,15,22,25,74,8,117,195,1932
2,2689,60,250,0,0.0,888.0,463.0,11,16,23,220,294,66,65,274,2379
1,2689,134,263,411,0.0,882.0,551.0,11,17,22,137,368,56,213,155,1881
0,2689,219,287,57,0.0,730.0,388.0,11,18,22,241,251,66,224,398,2126
3,2689,94,202,522,0.0,1235.0,616.0,11,21,22,162,65,66,284,144,1871
4,2689,45,238,452,0.0,1046.0,580.0,11,22,22,50,234,122,265,239,1954
2,2689,52,251,0,0.0,891.0,482.0,11,23,22,158,358,66,155,358,2386
1,2689,61,262,351,0.0,870.0,498.0,11,24,22,154,312,33,226,156,2015
0,2689,200,279,68,0.0,720.0,392.0,11,25,49,78,357,66,68,344,2142
3,2689,114,219,397,0.0,1246.0,623.0,11,28,22,146,283,66,172,93,1959
4,2689,84,218,388,0.0,900.0,587.0,11,29,22,23,305,96,234,303,1999
2,2689,68,207,0,0.0,1109.0,0.0,11,30,13,3,335,1,0,1,2414
1,2705,84,243,688,0.0,956.0,571.0,12,01,22,235,156,13,117,271,1690
0,2705,183,272,152,0.0,766.0,448.0,12,02,22,75,262,66,199,194,2098
3,2705,101,207,839,0.0,1110.0,560.0,12,05,22,157,384,66,91,256,1558
4,2705,69,222,799,0.0,930.0,593.0,12,06,22,266,193,77,176,87,1615
2,2705,69,232,0,0.0,895.0,468.0,12,07,47,208,371,66,129,334,2404
1,2705,76,262,587,0.0,787.0,512.0,12,08,22,167,261,9,11,423,1780
0,2705,196,284,152,0.0,621.0,416.0,12,09,22,225,197,66,159,352,2073
3,2705,102,193,633,0.0,1069.0,544.0,12,12,22,236,98,66,58,335,1777
4,2705,65,226,511,0.0,770.0,482.0,12,13,22,42,343,86,182,401,1903
2,2705,82,247,0,0.0,904.0,441.0,12,14,36,3,31,66,90,11,2376
1,2705,98,234,229,0.0,850.0,499.0,12,15,22,241,272,74,265,421,2144
0,2705,167,262,37,0.0,699.0,518.0,12,16,22,152,19,66,118,144,2239
3,2705,104,217,197,0.0,1215.0,482.0,12,19,22,110,312,66,224,398,2187
4,2705,89,238,126,0.0,790.0,461.0,12,20,22,235,39,104,226,320,2252
2,2705,72,230,0,0.0,929.0,494.0,12,21,22,64,132,66,180,132,2403
1,2705,118,242,32,0.0,524.0,213.0,12,22,22,36,231,80,121,220,2313
0,2705,343,243,7,0.0,560.0,398.0,12,23,22,174,127,66,63,60,2112
3,2705,206,194,63,0.0,1192.0,328.0,12,26,22,61,94,66,244,3,2242
4,2705,127,236,51,0.0,823.0,314.0,12,27,22,180,68,119,84,120,2291
2,2705,166,225,0,0.0,767.0,0.0,12,28,51,3,170,1,0,1,2314
1,2705,242,201,42,0.0,711.0,343.0,12,29,22,161,285,96,31,267,2220
0,2705,529,127,3,0.0,658.0,275.0,12,30,22,157,244,66,128,99,2046
3,2697,96,102,272,0.0,1273.0,559.0,01,02,22,128,227,66,101,181,2227
4,2697,61,158,259,0.0,1041.0,364.0,01,03,22,266,138,97,221,270,2219
2,2697,67,170,0,0.0,949.0,427.0,01,04,4,267,111,66,8,95,2460
1,2697,79,207,316,0.0,1000.0,531.0,01,05,22,211,45,32,265,161,2095
0,2697,189,224,74,0.0,830.0,523.0,01,06,22,64,130,66,72,145,2210
3,2697,121,166,445,0.0,1322.0,620.0,01,09,22,235,115,66,257,308,1965
4,2697,70,199,412,0.0,1186.0,533.0,01,10,22,151,308,16,2,158,2016
2,2697,57,223,0,0.0,1039.0,514.0,01,11,29,249,207,66,268,347,2417
1,2697,85,238,305,0.0,976.0,416.0,01,12,22,171,136,66,139,227,2069
0,2697,191,247,62,0.0,791.0,533.0,01,13,22,222,167,66,173,257,2197
3,2697,123,196,432,0.0,1273.0,571.0,01,16,22,175,285,66,5,167,1946
4,2697,75,215,380,0.0,1035.0,469.0,01,17,22,157,234,122,84,93,2027
2,2697,59,240,0,0.0,863.0,394.0,01,18,22,167,384,66,161,16,2398
1,2697,93,236,334,0.0,866.0,499.0,01,19,22,154,295,9,149,409,2034
0,2697,207,267,61,0.0,709.0,446.0,01,20,22,48,7,66,129,426,2162
3,2697,108,202,396,0.0,1152.0,509.0,01,23,22,43,76,66,158,205,1991
4,2697,63,218,273,0.0,974.0,396.0,01,24,22,170,94,33,226,267,2143
2,2697,79,203,0,0.0,720.0,0.0,01,25,49,78,293,1,0,1,2415
1,2697,369,117,28,0.0,844.0,147.0,01,26,22,110,217,66,175,120,2183
4,2697,177,58,278,0.0,1240.0,680.0,01,31,22,100,270,13,36,417,2184
2,2632,61,179,0,0.0,1260.0,566.0,02,01,22,160,40,66,240,344,2392
1,2632,45,217,427,0.0,1005.0,549.0,02,02,22,20,255,59,229,303,1943
0,2632,104,253,92,0.0,854.0,582.0,02,03,22,235,218,66,154,38,2183
3,2632,49,202,610,0.0,1319.0,768.0,02,06,22,42,68,66,143,398,1771
4,2632,40,207,565,0.0,1114.0,554.0,02,07,22,50,294,66,167,125,1820
2,2632,52,206,0,0.0,1068.0,548.0,02,08,51,78,80,66,194,222,2374
1,2632,65,227,377,0.0,953.0,583.0,02,09,22,109,244,77,176,285,1963
0,2632,149,284,59,0.0,797.0,505.0,02,10,42,143,45,66,244,194,2140
3,2632,61,196,505,0.0,1364.0,689.0,02,13,22,151,305,66,129,37,1870
4,2632,53,223,444,0.0,997.0,566.0,02,14,22,64,309,88,84,220,1912
2,2632,51,233,0,0.0,1045.0,505.0,02,15,22,74,254,66,199,132,2348
1,2632,56,240,419,0.0,968.0,567.0,02,16,22,266,225,74,3,377,1917
0,2632,144,269,73,0.0,753.0,494.0,02,17,22,171,123,66,257,47,2146
3,2632,104,199,494,0.0,1216.0,648.0,02,20,22,180,115,66,187,11,1835
4,2632,63,226,445,0.0,1004.0,559.0,02,21,22,114,62,25,119,267,1898
2,2632,75,252,0,0.0,1065.0,0.0,02,22,13,208,213,1,0,1,2305
1,2632,75,272,307,0.0,917.0,534.0,02,23,22,235,117,96,31,381,1978
0,2632,174,291,63,0.0,698.0,463.0,02,24,22,154,49,66,161,3,2104
3,2632,134,181,368,0.0,1141.0,563.0,02,27,22,117,384,66,284,356,1949
4,2632,156,203,179,0.0,956.0,536.0,02,28,22,128,269,9,40,357,2094
1,2627,190,215,428,0.0,1057.0,593.0,03,02,22,58,360,122,226,240,1794
0,2627,174,256,70,0.0,926.0,578.0,03,03,49,78,166,66,268,253,2127
3,2627,63,201,490,0.0,1311.0,658.0,03,06,22,171,252,66,25,268,1873
4,2627,41,214,455,0.0,994.0,545.0,03,07,22,244,108,95,84,270,1917
2,2627,46,233,0,0.0,879.0,518.0,03,08,6,97,283,66,240,383,2348
1,2627,55,254,346,0.0,954.0,519.0,03,09,22,167,133,11,265,208,1972
0,2627,145,291,63,0.0,664.0,461.0,03,10,22,177,377,66,118,62,2128
3,2627,82,211,449,0.0,1295.0,596.0,03,13,22,188,175,66,224,17,1885
4,2627,46,230,437,0.0,972.0,533.0,03,14,22,61,170,109,3,352,1914
2,2627,40,234,0,0.0,961.0,486.0,03,15,22,23,262,66,132,144,2353
1,2627,47,259,357,0.0,951.0,504.0,03,16,22,193,98,33,26,434,1964
0,2627,129,299,59,0.0,625.0,429.0,03,17,22,18,330,66,194,194,2140
3,2627,86,207,390,0.0,1328.0,556.0,03,20,22,167,348,66,94,83,1944
4,2627,55,222,454,0.0,940.0,647.0,03,21,22,42,235,40,117,160,1896
2,2627,53,235,0,0.0,953.0,0.0,03,22,22,58,293,1,0,1,2339
1,2627,62,245,321,0.0,911.0,557.0,03,23,22,232,117,113,234,35,1999
0,2627,181,279,50,0.0,644.0,518.0,03,24,22,50,39,66,192,93,2117
3,2627,105,242,360,0.0,1114.0,501.0,03,27,22,170,223,66,129,37,1920
4,2627,44,248,368,0.0,970.0,504.0,03,28,22,144,309,120,84,214,1967
2,2627,42,237,0,0.0,966.0,474.0,03,29,25,249,269,66,211,111,2348
1,2627,67,278,223,0.0,802.0,497.0,03,30,22,123,184,104,218,320,2059
0,2627,147,296,45,0.0,639.0,420.0,03,31,22,150,214,66,128,137,2139
3,2626,81,198,465,0.0,1258.0,577.0,04,03,22,36,280,66,257,6,1882
4,2626,54,212,418,0.0,809.0,535.0,04,04,22,64,236,96,176,324,1942
2,2626,63,251,0,0.0,1060.0,391.0,04,05,47,77,294,66,119,336,2312
1,2626,65,271,317,0.0,897.0,436.0,04,06,22,23,133,14,221,267,1973
0,2626,151,291,67,0.0,602.0,431.0,04,07,22,211,166,66,100,288,2117
3,2626,81,229,418,0.0,1218.0,541.0,04,10,22,174,227,66,106,372,1898
4,2626,44,234,440,0.0,994.0,535.0,04,11,22,28,371,66,249,196,1908
2,2626,41,241,0,0.0,893.0,384.0,04,12,22,69,193,66,167,224,2344
1,2626,61,270,318,0.0,784.0,521.0,04,13,22,267,74,77,226,282,1977
0,2626,122,298,55,0.0,541.0,402.0,04,14,22,152,283,66,244,132,2151
3,2626,82,220,434,0.0,1237.0,479.0,04,17,22,64,98,66,159,42,1890
4,2626,57,244,405,0.0,839.0,567.0,04,18,22,74,235,20,181,379,1920
2,2626,36,256,0,0.0,871.0,408.0,04,19,4,78,354,66,55,14,2334
1,2626,44,288,284,0.0,713.0,511.0,04,20,22,167,123,74,3,155,2010
0,2626,137,307,59,0.0,547.0,353.0,04,21,22,236,175,66,194,120,2123
3,2626,76,260,373,0.0,1109.0,531.0,04,24,22,118,269,66,199,262,1917
4,2626,69,288,336,0.0,791.0,510.0,04,25,22,226,70,33,182,401,1933
2,2626,45,304,0,0.0,835.0,0.0,04,26,29,78,288,1,0,1,2277
1,2626,61,311,183,0.0,788.0,442.0,04,27,22,100,149,27,183,394,2071
0,2626,161,310,44,0.0,575.0,362.0,04,28,22,35,355,66,187,351,2111
4,2637,933,123,88,0.0,525.0,298.0,05,02,22,227,385,66,167,125,1493
1,2637,1224,41,45,0.0,383.0,262.0,05,04,22,69,68,69,221,190,1327
3,2637,715,130,151,0.0,792.0,308.0,05,08,22,18,236,66,224,75,1641
2,2637,68,223,0,0.0,1235.0,500.0,05,10,22,64,305,66,192,102,2346
1,2637,57,264,471,0.0,829.0,501.0,05,11,22,232,62,46,84,220,1845
0,2637,113,289,96,0.0,817.0,507.0,05,12,22,194,293,66,244,141,2139
3,2637,63,224,516,0.0,1203.0,505.0,05,15,22,241,100,66,55,6,1834
4,2637,41,266,486,0.0,890.0,533.0,05,16,22,152,283,18,226,20,1844
2,2637,46,268,0,0.0,864.0,484.0,05,17,22,180,235,66,240,16,2323
1,2637,60,287,343,0.0,796.0,459.0,05,18,22,118,45,66,196,329,1947
0,2637,146,305,81,0.0,662.0,414.0,05,19,22,135,253,66,123,262,2105
3,2637,63,240,504,0.0,1207.0,585.0,05,22,22,160,305,66,191,387,1830
4,2637,47,257,429,0.0,889.0,545.0,05,23,22,138,11,42,234,399,1904
2,2637,49,277,0,0.0,852.0,387.0,05,24,51,25,34,66,41,175,2311
1,2637,57,290,320,0.0,838.0,456.0,05,25,22,74,275,32,220,270,1970
0,2637,164,302,60,0.0,597.0,462.0,05,26,22,235,308,66,68,370,2111
3,2637,88,240,394,0.0,1193.0,555.0,05,29,22,267,225,66,212,339,1915
4,2637,57,256,293,0.0,821.0,579.0,05,30,22,175,114,9,84,357,2031
