day,numbers,dayoff,work,outsidework,workfhome,dinner_t,Month,Date,bobd,soupd,maind,present
4,2670,59,239,1035,0.0,902.0,10,04,65,256,97,1337
2,2670,41,228,0,0.0,905.0,10,05,65,166,193,2401
1,2670,56,245,378,0.0,352.0,10,06,79,233,56,1991
0,2670,144,252,80,0.0,554.0,10,07,65,223,385,2194
3,2670,104,216,443,0.0,546.0,10,10,65,253,124,1907
4,2670,69,256,386,0.0,522.0,10,11,12,116,59,1959
2,2670,64,251,0,0.0,527.0,10,12,65,283,101,2355
1,2670,66,262,612,0.0,667.0,10,13,112,184,362,1730
0,2670,144,265,172,0.0,544.0,10,14,65,128,397,2089
3,2670,107,241,425,0.0,527.0,10,17,65,267,96,1897
4,2670,53,262,394,0.0,544.0,10,18,20,241,24,1961
2,2670,72,267,0,0.0,475.0,10,19,65,182,140,2331
1,2670,105,269,281,0.0,564.0,10,20,70,200,242,2015
0,2670,228,280,62,0.0,442.0,10,21,65,54,425,2100
3,2670,120,223,367,0.0,600.0,10,24,65,131,92,1960
4,2670,73,259,345,0.0,559.0,10,25,73,2,433,1993
2,2670,89,258,0,0.0,410.0,10,26,65,160,4,2323
1,2670,94,272,240,0.0,454.0,10,27,65,120,334,2064
0,2670,192,277,63,0.0,475.0,10,28,65,198,153,2138
3,2670,134,223,255,0.0,540.0,10,31,65,128,223,2058
4,2689,70,212,515,0.0,578.0,11,01,87,272,56,1892
2,2689,73,231,0,0.0,540.0,11,02,65,243,138,2385
1,2689,72,283,408,0.0,553.0,11,03,96,116,240,1926
0,2689,168,276,81,0.0,497.0,11,04,65,166,124,2164
3,2689,133,222,539,0.0,506.0,11,07,65,104,6,1795
4,2689,60,250,503,0.0,512.0,11,08,22,83,309,1876
2,2689,58,267,0,0.0,499.0,11,09,65,140,39,2364
1,2689,73,267,385,0.0,513.0,11,10,8,10,422,1964
0,2689,173,286,69,0.0,426.0,11,11,65,55,196,2161
3,2689,92,227,461,0.0,539.0,11,14,65,253,166,1909
4,2689,66,273,418,0.0,418.0,11,15,7,116,194,1932
2,2689,60,250,0,0.0,463.0,11,16,65,64,273,2379
1,2689,134,263,411,0.0,551.0,11,17,55,212,154,1881
0,2689,219,287,57,0.0,388.0,11,18,65,223,397,2126
3,2689,94,202,522,0.0,616.0,11,21,65,283,143,1871
4,2689,45,238,452,0.0,580.0,11,22,121,264,238,1954
2,2689,52,251,0,0.0,482.0,11,23,65,154,357,2386
1,2689,61,262,351,0.0,498.0,11,24,32,225,155,2015
0,2689,200,279,68,0.0,392.0,11,25,65,67,343,2142
3,2689,114,219,397,0.0,623.0,11,28,65,171,92,1959
4,2689,84,218,388,0.0,587.0,11,29,95,233,302,1999
1,2705,84,243,688,0.0,571.0,12,01,12,116,270,1690
0,2705,183,272,152,0.0,448.0,12,02,65,198,193,2098
3,2705,101,207,839,0.0,560.0,12,05,65,90,255,1558
4,2705,69,222,799,0.0,593.0,12,06,76,175,86,1615
2,2705,69,232,0,0.0,468.0,12,07,65,128,333,2404
1,2705,76,262,587,0.0,512.0,12,08,8,10,422,1780
0,2705,196,284,152,0.0,416.0,12,09,65,158,351,2073
3,2705,102,193,633,0.0,544.0,12,12,65,57,334,1777
4,2705,65,226,511,0.0,482.0,12,13,85,181,400,1903
2,2705,82,247,0,0.0,441.0,12,14,65,89,10,2376
1,2705,98,234,229,0.0,499.0,12,15,73,264,420,2144
0,2705,167,262,37,0.0,518.0,12,16,65,117,143,2239
3,2705,104,217,197,0.0,482.0,12,19,65,223,397,2187
4,2705,89,238,126,0.0,461.0,12,20,103,225,319,2252
2,2705,72,230,0,0.0,494.0,12,21,65,179,131,2403
1,2705,118,242,32,0.0,213.0,12,22,79,120,219,2313
0,2705,343,243,7,0.0,398.0,12,23,65,62,59,2112
3,2705,206,194,63,0.0,328.0,12,26,65,243,2,2242
4,2705,127,236,51,0.0,314.0,12,27,118,83,119,2291
1,2705,242,201,42,0.0,343.0,12,29,95,30,266,2220
0,2705,529,127,3,0.0,275.0,12,30,65,127,98,2046
3,2697,96,102,272,0.0,559.0,01,02,65,100,180,2227
4,2697,61,158,259,0.0,364.0,01,03,96,220,269,2219
2,2697,67,170,0,0.0,427.0,01,04,65,7,94,2460
1,2697,79,207,316,0.0,531.0,01,05,31,264,160,2095
0,2697,189,224,74,0.0,523.0,01,06,65,71,144,2210
3,2697,121,166,445,0.0,620.0,01,09,65,256,307,1965
4,2697,70,199,412,0.0,533.0,01,10,15,1,157,2016
2,2697,57,223,0,0.0,514.0,01,11,65,267,346,2417
1,2697,85,238,305,0.0,416.0,01,12,65,138,226,2069
0,2697,191,247,62,0.0,533.0,01,13,65,172,256,2197
3,2697,123,196,432,0.0,571.0,01,16,65,4,166,1946
4,2697,75,215,380,0.0,469.0,01,17,121,83,92,2027
2,2697,59,240,0,0.0,394.0,01,18,65,160,15,2398
1,2697,93,236,334,0.0,499.0,01,19,8,148,408,2034
0,2697,207,267,61,0.0,446.0,01,20,65,128,425,2162
3,2697,108,202,396,0.0,509.0,01,23,65,157,204,1991
4,2697,63,218,273,0.0,396.0,01,24,32,225,266,2143
1,2697,369,117,28,0.0,147.0,01,26,65,174,119,2183
4,2697,177,58,278,0.0,680.0,01,31,12,35,416,2184
2,2632,61,179,0,0.0,566.0,02,01,65,239,343,2392
1,2632,45,217,427,0.0,549.0,02,02,58,228,302,1943
0,2632,104,253,92,0.0,582.0,02,03,65,153,37,2183
3,2632,49,202,610,0.0,768.0,02,06,65,142,397,1771
4,2632,40,207,565,0.0,554.0,02,07,65,166,124,1820
2,2632,52,206,0,0.0,548.0,02,08,65,193,221,2374
1,2632,65,227,377,0.0,583.0,02,09,76,175,284,1963
0,2632,149,284,59,0.0,505.0,02,10,65,243,193,2140
3,2632,61,196,505,0.0,689.0,02,13,65,128,36,1870
4,2632,53,223,444,0.0,566.0,02,14,87,83,219,1912
2,2632,51,233,0,0.0,505.0,02,15,65,198,131,2348
1,2632,56,240,419,0.0,567.0,02,16,73,2,376,1917
0,2632,144,269,73,0.0,494.0,02,17,65,256,46,2146
3,2632,104,199,494,0.0,648.0,02,20,65,186,10,1835
4,2632,63,226,445,0.0,559.0,02,21,24,118,266,1898
1,2632,75,272,307,0.0,534.0,02,23,95,30,380,1978
0,2632,174,291,63,0.0,463.0,02,24,65,160,2,2104
3,2632,134,181,368,0.0,563.0,02,27,65,283,355,1949
4,2632,156,203,179,0.0,536.0,02,28,8,39,356,2094
1,2627,190,215,428,0.0,593.0,03,02,121,225,239,1794
0,2627,174,256,70,0.0,578.0,03,03,65,267,252,2127
3,2627,63,201,490,0.0,658.0,03,06,65,24,267,1873
4,2627,41,214,455,0.0,545.0,03,07,94,83,269,1917
2,2627,46,233,0,0.0,518.0,03,08,65,239,382,2348
1,2627,55,254,346,0.0,519.0,03,09,10,264,207,1972
0,2627,145,291,63,0.0,461.0,03,10,65,117,61,2128
3,2627,82,211,449,0.0,596.0,03,13,65,223,16,1885
4,2627,46,230,437,0.0,533.0,03,14,108,2,351,1914
2,2627,40,234,0,0.0,486.0,03,15,65,131,143,2353
1,2627,47,259,357,0.0,504.0,03,16,32,25,433,1964
0,2627,129,299,59,0.0,429.0,03,17,65,193,193,2140
3,2627,86,207,390,0.0,556.0,03,20,65,93,82,1944
4,2627,55,222,454,0.0,647.0,03,21,39,116,159,1896
1,2627,62,245,321,0.0,557.0,03,23,112,233,34,1999
0,2627,181,279,50,0.0,518.0,03,24,65,191,92,2117
3,2627,105,242,360,0.0,501.0,03,27,65,128,36,1920
4,2627,44,248,368,0.0,504.0,03,28,119,83,213,1967
2,2627,42,237,0,0.0,474.0,03,29,65,210,110,2348
1,2627,67,278,223,0.0,497.0,03,30,103,217,319,2059
0,2627,147,296,45,0.0,420.0,03,31,65,127,136,2139
3,2626,81,198,465,0.0,577.0,04,03,65,256,5,1882
4,2626,54,212,418,0.0,535.0,04,04,95,175,323,1942
2,2626,63,251,0,0.0,391.0,04,05,65,118,335,2312
1,2626,65,271,317,0.0,436.0,04,06,13,220,266,1973
0,2626,151,291,67,0.0,431.0,04,07,65,99,287,2117
3,2626,81,229,418,0.0,541.0,04,10,65,105,371,1898
4,2626,44,234,440,0.0,535.0,04,11,65,248,195,1908
2,2626,41,241,0,0.0,384.0,04,12,65,166,223,2344
1,2626,61,270,318,0.0,521.0,04,13,76,225,281,1977
0,2626,122,298,55,0.0,402.0,04,14,65,243,131,2151
3,2626,82,220,434,0.0,479.0,04,17,65,158,41,1890
4,2626,57,244,405,0.0,567.0,04,18,19,180,378,1920
2,2626,36,256,0,0.0,408.0,04,19,65,54,13,2334
1,2626,44,288,284,0.0,511.0,04,20,73,2,154,2010
0,2626,137,307,59,0.0,353.0,04,21,65,193,119,2123
3,2626,76,260,373,0.0,531.0,04,24,65,198,261,1917
4,2626,69,288,336,0.0,510.0,04,25,32,181,400,1933
1,2626,61,311,183,0.0,442.0,04,27,26,182,393,2071
0,2626,161,310,44,0.0,362.0,04,28,65,186,350,2111
4,2637,933,123,88,0.0,298.0,05,02,65,166,124,1493
1,2637,1224,41,45,0.0,262.0,05,04,68,220,189,1327
3,2637,715,130,151,0.0,308.0,05,08,65,223,74,1641
2,2637,68,223,0,0.0,500.0,05,10,65,191,101,2346
1,2637,57,264,471,0.0,501.0,05,11,45,83,219,1845
0,2637,113,289,96,0.0,507.0,05,12,65,243,140,2139
3,2637,63,224,516,0.0,505.0,05,15,65,54,5,1834
4,2637,41,266,486,0.0,533.0,05,16,17,225,19,1844
2,2637,46,268,0,0.0,484.0,05,17,65,239,15,2323
1,2637,60,287,343,0.0,459.0,05,18,65,195,328,1947
0,2637,146,305,81,0.0,414.0,05,19,65,122,261,2105
3,2637,63,240,504,0.0,585.0,05,22,65,190,386,1830
4,2637,47,257,429,0.0,545.0,05,23,41,233,398,1904
2,2637,49,277,0,0.0,387.0,05,24,65,40,174,2311
1,2637,57,290,320,0.0,456.0,05,25,31,219,269,1970
0,2637,164,302,60,0.0,462.0,05,26,65,67,369,2111
3,2637,88,240,394,0.0,555.0,05,29,65,211,338,1915
4,2637,57,256,293,0.0,579.0,05,30,8,83,356,2031
1,2648,66,265,317,0.0,505.0,06,01,85,51,157,2000
0,2648,165,293,77,0.0,480.0,06,02,65,146,405,2113
3,2648,633,150,174,0.0,306.0,06,05,65,3,397,1691
2,2648,75,228,0,0.0,549.0,06,07,65,193,140,2345
1,2648,63,274,423,0.0,443.0,06,08,10,46,302,1888
0,2648,130,294,67,0.0,460.0,06,09,65,159,2,2157
3,2648,87,209,529,0.0,552.0,06,12,65,67,119,1823
4,2648,47,234,451,0.0,540.0,06,13,96,116,34,1916
2,2648,55,253,0,0.0,408.0,06,14,65,179,198,2340
1,2648,64,268,318,0.0,443.0,06,15,41,192,209,1998
0,2648,164,305,62,0.0,383.0,06,16,65,240,264,2117
3,2648,102,226,455,0.0,489.0,06,19,65,4,95,1865
4,2648,66,253,429,0.0,508.0,06,20,103,118,319,1900
2,2648,60,269,0,0.0,445.0,06,21,65,267,46,2319
1,2648,69,273,317,0.0,451.0,06,22,56,175,155,1989
0,2648,162,290,57,0.0,441.0,06,23,65,256,397,2139
3,2648,112,237,374,0.0,539.0,06,26,65,190,398,1925
4,2648,59,256,309,0.0,575.0,06,27,107,224,395,2024
1,2648,66,266,209,0.0,451.0,06,29,49,203,332,2107
0,2648,188,296,34,0.0,370.0,06,30,65,243,343,2130
3,2839,66,214,414,0.0,501.0,07,03,65,223,42,2145
4,2839,50,247,368,0.0,432.0,07,04,121,2,92,2174
2,2839,46,260,0,0.0,340.0,07,05,65,58,124,2533
1,2839,72,268,341,0.0,501.0,07,06,8,225,269,2158
0,2839,146,288,73,0.0,472.0,07,07,65,166,416,2332
3,2839,98,215,406,0.0,527.0,07,10,65,4,219,2120
4,2839,62,232,380,0.0,444.0,07,11,73,116,239,2165
2,2839,69,263,0,0.0,414.0,07,12,65,267,174,2507
1,2839,79,277,311,0.0,461.0,07,13,76,25,410,2172
0,2839,209,286,57,0.0,485.0,07,14,65,15,193,2287
3,2839,132,212,424,0.0,500.0,07,17,65,40,256,2071
4,2839,98,239,419,0.0,513.0,07,18,33,51,400,2083
2,2839,79,259,0,0.0,457.0,07,19,65,276,309,2501
1,2839,90,278,270,0.0,429.0,07,20,106,219,422,2201
0,2839,206,301,46,0.0,410.0,07,21,65,223,69,2286
3,2839,237,211,401,0.0,486.0,07,24,65,251,46,1990
4,2839,214,243,272,0.0,514.0,07,25,49,46,214,2110
1,2839,334,240,221,0.0,486.0,07,27,31,118,398,2044
0,2839,419,264,46,0.0,459.0,07,28,65,54,245,2110
3,2839,524,156,192,0.0,455.0,07,31,65,178,130,1967
4,2645,466,181,320,0.0,509.0,08,01,10,225,433,1678
2,2645,454,188,0,0.0,337.0,08,02,65,49,397,2003
1,2645,451,207,301,0.0,401.0,08,03,108,2,264,1686
0,2645,544,238,55,0.0,354.0,08,04,65,239,376,1808
3,2645,428,168,351,0.0,497.0,08,07,65,17,143,1698
4,2645,414,207,350,0.0,445.0,08,08,118,2,213,1674
2,2645,428,210,0,0.0,372.0,08,09,65,140,41,2007
1,2645,438,228,292,0.0,438.0,08,10,32,108,380,1687
0,2645,566,240,66,0.0,393.0,08,11,65,198,66,1773
3,2645,863,131,114,0.0,275.0,08,14,65,251,307,1537
2,2645,403,180,0,0.0,433.0,08,16,65,253,140,2062
1,2645,357,221,380,0.0,507.0,08,17,12,184,194,1687
0,2645,396,272,61,0.0,484.0,08,18,65,271,336,1916
3,2645,74,169,618,0.0,673.0,08,21,65,240,299,1784
4,2645,74,213,484,0.0,604.0,08,22,103,220,319,1874
2,2645,72,215,0,0.0,537.0,08,23,65,243,128,2358
1,2645,78,259,344,0.0,489.0,08,24,14,252,394,1964
0,2645,164,310,55,0.0,354.0,08,25,65,15,245,2116
3,2645,169,225,337,0.0,514.0,08,28,65,55,37,1914
4,2645,121,260,294,0.0,609.0,08,29,76,46,67,1970
2,2645,116,270,0,0.0,395.0,08,30,65,128,425,2259
1,2645,110,281,189,0.0,487.0,08,31,65,196,211,2065
3,2642,113,243,416,0.0,581.0,09,04,65,254,6,1870
4,2642,74,265,390,0.0,518.0,09,05,26,2,393,1913
2,2642,69,275,0,0.0,503.0,09,06,65,267,124,2298
1,2642,78,279,358,0.0,455.0,09,07,45,83,46,1927
0,2642,155,305,66,0.0,494.0,09,08,65,256,333,2116
3,2642,101,203,478,0.0,510.0,09,11,65,153,349,1860
4,2642,72,242,430,0.0,540.0,09,12,8,225,302,1898
2,2642,57,253,0,0.0,476.0,09,13,65,117,140,2332
1,2642,68,291,317,0.0,437.0,09,14,49,175,33,1966
0,2642,198,290,70,0.0,454.0,09,15,65,67,116,2084
3,2642,93,220,501,0.0,552.0,09,18,65,178,430,1828
4,2642,49,246,432,0.0,567.0,09,19,103,41,326,1915
2,2642,62,279,0,0.0,411.0,09,20,65,22,425,2301
1,2642,70,280,334,0.0,546.0,09,21,104,36,280,1958
0,2642,174,291,67,0.0,490.0,09,22,65,149,63,2110
3,2642,97,258,385,0.0,592.0,09,25,65,130,13,1902
4,2642,81,261,342,0.0,573.0,09,26,95,30,327,1958
2,2642,70,265,0,0.0,0.0,09,27,65,67,193,2307
1,2642,102,263,202,0.0,473.0,09,28,73,87,108,2075
4,2645,105,209,641,0.0,746.0,10,10,65,64,124,1690
2,2645,60,250,0,0.0,613.0,10,11,121,225,238,2335
1,2645,46,269,1017,0.0,626.0,10,12,65,166,255,1313
0,2645,63,268,86,0.0,628.0,10,13,65,182,143,2228
3,2645,90,225,464,0.0,497.0,10,16,65,253,101,1866
4,2645,56,258,453,0.0,555.0,10,17,33,51,157,1878
2,2645,45,270,0,0.0,490.0,10,18,65,186,252,2330
1,2645,67,282,341,0.0,514.0,10,19,50,219,269,1955
0,2645,190,301,53,0.0,416.0,10,20,65,67,382,2101
3,2645,116,250,435,0.0,538.0,10,23,65,162,92,1844
4,2645,65,258,400,0.0,439.0,10,24,43,11,154,1922
1,2645,101,302,251,0.0,405.0,10,26,32,23,258,1991
0,2645,210,309,57,0.0,327.0,10,27,65,256,5,2069
3,2645,124,250,374,0.0,589.0,10,30,65,62,69,1897
4,2645,63,290,238,0.0,503.0,10,31,73,2,416,2054
2,2644,63,279,0,0.0,424.0,11,01,65,166,66,2302
1,2644,53,304,333,0.0,469.0,11,02,112,212,362,1954
0,2644,173,304,58,0.0,406.0,11,03,65,54,198,2109
3,2644,93,244,452,0.0,451.0,11,06,65,182,256,1855
4,2644,75,268,462,0.0,522.0,11,07,76,225,23,1839
2,2644,60,276,0,0.0,397.0,11,08,65,160,425,2308
1,2644,90,287,347,0.0,414.0,11,09,21,219,135,1920
0,2644,184,292,56,0.0,397.0,11,10,65,153,338,2112
3,2644,107,240,525,0.0,547.0,11,13,65,191,434,1772
4,2644,78,269,388,0.0,515.0,11,14,41,10,354,1909
2,2644,87,276,0,0.0,363.0,11,15,65,138,416,2281
1,2644,129,283,347,0.0,437.0,11,16,65,162,62,1885
0,2644,213,311,58,0.0,332.0,11,17,65,259,349,2062
3,2644,107,237,517,0.0,569.0,11,20,65,179,138,1783
4,2644,77,256,435,0.0,486.0,11,21,26,175,269,1876
2,2644,64,277,0,0.0,424.0,11,22,65,122,264,2303
1,2644,122,288,305,0.0,433.0,11,23,17,30,377,1929
